name,old_dist,new_dist
Cook,1,1
Jo Daviess,2,4
Stephenson,2,4
Winnebago,2,4
Boone,2,4
McHenry,2,2
Lake,2,2
Carroll,2,4
Ogle,2,4
Lee,2,4
DeKalb,2,2
Kane,2,2
Kendall,2,2
DuPage,2,3
Will,3,3
Kankakee,3,3
Iroquois,3,3
Grundy,3,3
LaSalle,3,3
Marshall,3,4
Putnam,3,4
Bureau,3,3
Stark,3,4
Peoria,3,4
Tazewell,3,4
Whiteside,3,4
Henry,3,4
Knox,3,4
Fulton,3,4
Rock Island,3,4
Mercer,3,4
Henderson,3,4
Warren,3,4
Hancock,3,4
McDonough,3,4
Vermilion,4,5
Edgar,4,5
Clark,4,5
Ford,4,4
Champaign,4,5
Douglas,4,5
Coles,4,5
Cumberland,4,5
Livingston,4,4
Woodford,4,4
McLean,4,4
DeWitt,4,5
Piatt,4,5
Macon,4,5
Moultrie,4,5
Logan,4,4
Mason,4,4
Menard,4,4
Sangamon,4,4
Cass,4,4
Morgan,4,4
Scott,4,4
Macoupin,4,4
Greene,4,4
Jersey,4,4
Schuyler,4,4
Brown,4,4
Pike,4,4
Calhoun,4,4
Adams,4,4
Montgomery,5,5
Christian,5,5
Shelby,5,5
Madison,5,5
Bond,5,5
Fayette,5,5
Effingham,5,5
Jasper,5,5
Crawford,5,5
Monroe,5,5
St. Clair,5,5
Clinton,5,5
Washington,5,5
Marion,5,5
Jefferson,5,5
Clay,5,5
Wayne,5,5
Richland,5,5
Edwards,5,5
Lawrence,5,5
Wabash,5,5
Randolph,5,5
Perry,5,5
Franklin,5,5
Hamilton,5,5
White,5,5
Jackson,5,5
Williamson,5,5
Saline,5,5
Gallatin,5,5
Union,5,5
Johnson,5,5
Pope,5,5
Hardin,5,5
Alexander,5,5
Pulaski,5,5
Massac,5,5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
